What does food science study?	Food science studies the production, processing, preparing, evaluating, and use of food.	FNH200::Lesson01
What three qualities does the food industry work to maintain in food from farm gate to plate?	Safe, nutritious, and tasty.	FNH200::Lesson01
What phrase does the Lesson 01 deck use for the span of the food system that food science covers?	"From farm gate to plate" - everything from production on the farm through to the food on the consumer's plate.	FNH200::Lesson01
Name the five sub-fields of food science listed in FNH 200.	Food Chemistry, Food Analysis, Food Microbiology, Food Processing, and Food Engineering.	FNH200::Lesson01
Which sub-field of food science is described as "structure, composition and properties of foods"?	Food Chemistry (explored in Lessons 2 and 3).	FNH200::Lesson01
Which sub-field of food science is described as "methods involved in the understanding of food structure"?	Food Analysis (explored in Lesson 2).	FNH200::Lesson01
Which sub-field of food science is described as "roles of micro-organisms in food borne illness and fermentation"?	Food Microbiology (explored in Lessons 5 and 12).	FNH200::Lesson01
Which sub-field of food science is described as "manufacturing, packaging, and handling of foods"?	Food Processing (explored in Lessons 6 to 11).	FNH200::Lesson01
Which sub-field of food science is described as "thermodynamics, energy transfer during the processing of foods"?	Food Engineering (covered only very briefly in FNH 200).	FNH200::Lesson01
Which single sub-field of food science covers BOTH foodborne illness and fermentation?	Food Microbiology - the same micro-organisms cause illness or are harnessed for fermentation depending on whether they are controlled.	FNH200::Lesson01
Whose statue stands outside the headquarters of the Institute of Food Technologists (IFT), and what invention does it recognize?	Francois Nicolas Appert, recognized for his invention of canning.	FNH200::Lesson01
What is the Institute of Food Technologists (IFT)?	An internationally recognized leader in undergraduate education standards for degrees in Food Science; it approves Food Science programs (badge shown: IFT Approved for 2020-2025).	FNH200::Lesson01
How many essential learning outcomes (ELOs) does IFT establish for approved Food Science programs?	55 essential learning outcomes.	FNH200::Lesson01
What does an IFT approval badge on a university program mean?	The program is recognized as delivering a comprehensive Food Science education covering the 55 IFT essential learning outcomes. FNH 200 only begins to introduce some of them.	FNH200::Lesson01
Which IFT ELO categories are highlighted in the Lesson 01 deck as ones FNH 200 begins to introduce?	Food chemistry (FC), Food microbiology (FM), Sensory science (SS), and Quality assurance (QA) - e.g. FC.1 chemical reactions that limit shelf life; FM.1 beneficial, pathogenic and spoilage microorganisms; SS.1 basis for sensory evaluation; QA.1 defining food quality.	FNH200::Lesson01
What annual list does the IFT publish?	The Top Ten Food Trends list.	FNH200::Lesson01
Which Canadian provinces are the major producers of cereal grains?	Alberta, Saskatchewan, and Manitoba (the three prairie provinces) - not BC and not Ontario.	FNH200::Lesson01
What is the typical harvesting month for apples in BC?	October.	FNH200::Lesson01
What four variables are controlled in controlled atmosphere storage?	Temperature, humidity, oxygen, and carbon dioxide - i.e. "all of the above."	FNH200::Lesson01
How much oxygen is in the atmosphere (normal air)?	About 21%.	FNH200::Lesson01
Why is the oxygen level lowered in controlled atmosphere storage of apples?	A harvested apple is still alive and respiring; lowering oxygen, chilling the room and raising CO2 slows its metabolism and ripening so it stays crisp for months.	FNH200::Lesson01
Why can BC apples be sold in stores in June when they were harvested in October?	Controlled atmosphere storage: sealed rooms with regulated temperature, humidity, oxygen and carbon dioxide slow the fruit's metabolism so one month of harvest supplies twelve months of sales.	FNH200::Lesson01
In the production of apple cider, what is added to apple juice and what does it yield?	Yeast is added to apple juice and yields ethanol.	FNH200::Lesson01
Which organism-and-product combination makes vinegar rather than cider?	A bacterial culture producing acetic acid - not yeast producing ethanol. This is the classic distractor pairing on this question.	FNH200::Lesson01
What value-added product is made from apple juice waste (the pressed-out pulp/pomace)?	Pectin.	FNH200::Lesson01
What is pectin used for?	It is the gelling agent used to set jams and jellies.	FNH200::Lesson01
List the five apple products students were asked to rank by processing complexity in the Lesson 01 group activity.	Apple sauce, apple cider, apple juice, an apple from the US, and an apple from New Zealand.	FNH200::Lesson01
Besides ranking them, what else did the Lesson 01 apple activity ask students to describe?	How the food industry keeps each product fresh - that is, safe, nutritious, and tasty - and the roles of the food industry and food science in doing so.	FNH200::Lesson01
Why does an imported apple (from the US or New Zealand) add processing complexity?	Distance requires the whole cold chain - storage, shipping and logistics - while still keeping the apple safe, nutritious, and tasty.	FNH200::Lesson01
Rank these by processing steps: fresh apple, apple sauce, apple juice, apple cider.	Fresh apple (washed, waxed, stored) < apple sauce (chopped, cooked, packed) < apple juice (pressed, filtered, pasteurized) < apple cider (juice plus a biological fermentation step).	FNH200::Lesson01
What two summary statements does Lesson 01 make about Canada's food system and food industry?	Canada offers a vast and diverse food system, and the Canadian food industry has a strong impact on Canada's economy.	FNH200::Lesson01
According to the Lesson 01 summary, what has a strong influence on food consumption trends?	Consumers and consumer demands.	FNH200::Lesson01
According to the Lesson 01 summary, what have technological advancements led to?	Many "food science discoveries."	FNH200::Lesson01
What image closes Lesson 01 and what point does it make?	Bins of wasted food - a reminder that a large share of what our astonishing food system produces is thrown away.	FNH200::Lesson01
Which food categories does the Lesson 01 deck use to compare year-over-year changes in availability?	Fresh fruits; fresh vegetables; red meat, poultry, beef and pork; eggs; milk (total, skim, 1%, homo), cheese and cream; wheat flour; and alcohol (beer, wine, spirits).	FNH200::Lesson01
What is a colloidal dispersion, and what are its two phases?	A system in which the particles of one substance are distributed (dispersed) in another substance without dissolving.<br>Dispersed phase = the substance dispersed within another; continuous phase = the substance that extends throughout the system and surrounds it (the exterior/outside).	FNH200::Lesson02
Table 2.1: a SOLID dispersed in a LIQUID is called what, and what does it do in food?	A sol - e.g. starches, proteins and some plant polysaccharides in water. A sol helps hold small pieces of food suspended in the liquid (e.g. salad dressing).	FNH200::Lesson02
Table 2.1: a LIQUID dispersed in a LIQUID is called what? Examples?	An emulsion. Examples: milk and mayonnaise.	FNH200::Lesson02
Table 2.1: a LIQUID dispersed in a SOLID is called what? Examples?	A solid emulsion. Examples: butter and margarine (both are water-in-oil).	FNH200::Lesson02
Table 2.1: which dispersion is a liquid held in a solid network, and what are its examples?	A gel. Examples: starch, pectin or gelatin gels; also tofu and sausages.	FNH200::Lesson02
Table 2.1: a GAS dispersed in a LIQUID is called what? Examples?	A foam. Examples: beaten egg white and whipped cake frostings.	FNH200::Lesson02
Table 2.1: a GAS dispersed in a SOLID is called what? Examples?	A solid foam. Examples: meringue, ice cream and bread. Ice cream must contain at least 36% solids - the rest is largely whipped-in gas.	FNH200::Lesson02
Which is the MOST accurate description of milk, and how does margarine differ?	Milk is an oil-in-water emulsion (fat droplets dispersed in a continuous water phase). Margarine and butter are the reverse - water-in-oil solid emulsions.	FNH200::Lesson02
What type of food colloidal dispersion is angel cake or marshmallow?	Solid foam (gas dispersed in a solid).	FNH200::Lesson02
Why does the fat not float to the top (cream) in commercially available milk?	Each fat droplet is coated by natural milk protein acting as an emulsifier, and the droplets have been made small, so they stay suspended instead of creaming.	FNH200::Lesson02
Distinguish an emulsifier from a stabilizer, and define creaming.	An emulsifier sits at the oil-water interface and coats the droplets; a stabilizer thickens the continuous phase so droplets cannot rise. Creaming is droplets floating to the top - salad dressings add a stabilizer to prevent it.	FNH200::Lesson02
What are phospholipids, why are they great emulsifiers, and name the common food example.	Phospholipids are a special fat that is partly water-liking (hydrophilic) and partly oil/fat-liking (hydrophobic), so they sit at the oil-water interface. Lecithin, found in egg yolk and soybean, is the commonly used one.	FNH200::Lesson02
Name the three carbohydrate classes, the three disaccharides and the enzyme that digests each.	Monosaccharides (single unit): glucose, fructose, galactose.<br>Disaccharides: sucrose = glu-fru (invertase), lactose = glu-gal (lactase), maltose = glu-glu (maltase).<br>Polysaccharides: very long chains of glucose, e.g. starch.	FNH200::Lesson02
Table 2.2: give the sweetness index of sucrose, fructose, glucose, galactose, maltose and lactose.	Sucrose 100 (the benchmark), fructose (levulose) 140, glucose (dextrose) 70-80, galactose 60, maltose 20, lactose 10-20.	FNH200::Lesson02
Table 2.2: give the sweetness index of invert sugar, corn syrup, sorbitol, xylitol and the high fructose corn syrups.	Invert sugar 100-130, corn syrup (glucose/maltose mixture) 50, sorbitol 50, xylitol 100.<br>HFCS: 42% fructose = 100, 55% fructose = 100+, 90% fructose = 120-160.	FNH200::Lesson02
Why was the deck's ranking question that included generic 'corn syrup' unanswerable?	It is a tricky question - there is not enough information to determine the ranking, because corn syrup is a variable mixture of glucose and maltose.	FNH200::Lesson02
Outline the reaction pathway used to make high fructose corn syrup.	Starch (amylose, not sweet) -> amylase or acid -> maltose (slightly sweet) -> maltase -> glucose (sweet) -> glucose isomerase -> fructose (very sweet).	FNH200::Lesson02
Why is lactose-free milk sweeter than regular milk, and what is invert sugar?	Added lactase splits lactose (index 10-20) into glucose (70-80) and galactose (60), which are sweeter. Invert sugar is sucrose split by invertase or acid into glucose + fructose, giving a sweeter mixture (100-130) than sucrose (100).	FNH200::Lesson02
In addition to acting as a sweetening agent, what is the primary role of sugar in jam?	Preservative. Sugar binds water, converting free water to bound water so microbes cannot use it.	FNH200::Lesson02
Contrast the Maillard reaction with caramelization, and name a browning-question item that is neither.	Maillard = sugar AND protein (a reducing sugar plus an amino compound); e.g. bread, toast, coffee, roasted foods. Caramelization = sugar ONLY; e.g. caramel, toffee. Sugar cane is NOT a Maillard product.	FNH200::Lesson02
What is gelatinization?	What cooking does to starch: starch granules absorb water and swell (e.g. cooking rice or pasta).	FNH200::Lesson02
What is retrogradation?	The starch recrystallizing so that cooked rice, pasta or bread turns hard again after cooking (e.g. leftovers in the fridge).	FNH200::Lesson02
What is syneresis, and what are dextrins?	Syneresis is water being squeezed out of a gel (a gel weeping liquid). Dextrins are smaller starch fragments - a term revisited in Lesson 4.	FNH200::Lesson02
Give the source and food use of pectins, agar and alginates.	Pectins: structural polymers in plants such as apple, the cement between plant cells; gelling agent in jams and jellies, viscosity in tomato paste and ketchup, mouth feel in juice. Agar: extracted from seaweed (kelp), used as a thickener. Alginates: from certain seaweeds, gelling agents that keep solids and liquids suspended in fruit juices.	FNH200::Lesson02
Give the source and food use of gum arabic, carrageenan and xanthan gum.	Gum arabic (gum acacia): plant exudate from the bark of the acacia tree, thickener and stabilizer. Carrageenan: from certain seaweeds (red algae), suspending agent that keeps cocoa particles suspended in chocolate milk. Xanthan gum: produced by bacteria, first isolated from rotting cabbage, thickener in salad dressings.	FNH200::Lesson02
List the seven functional roles of fat in food science, and say which one explains deep-fat frying french fries.	Aerate, carry aroma, emulsify, lubricate, soften, tenderize, withstand high temperature. French fries cook quickly because oil can withstand high temperature.	FNH200::Lesson02
What are the functional roles of proteins in foods, and which milk component makes latte foam?	Proteins act as enzymes and form foams and gels (bread crumb, whipped egg white, cooked egg, sausages, tofu). Milk protein - not milk fat, lactose or other carbohydrate - is responsible for the foam on a latte.	FNH200::Lesson02
What is the unwelcome role of proteins in foods, and who identifies Canada's list?	Food allergens are proteins. Health Canada and the CFIA identify Canada's priority food allergens: eggs, milk, mustard, peanuts, crustaceans and molluscs, fish, sesame, soy, sulphites, tree nuts and wheat.	FNH200::Lesson02
What is the most important component in food, and what are the two types of it?	Water. Bound water is bound to food components (salt, sugar, fat, protein) or to the container; free water is available for microbial growth, chemical reactions and enzymatic reactions.	FNH200::Lesson02
What is water activity, and why can foods not be ranked by moisture content alone?	Water activity (aw) measures the free/available water on a 0 to 1 scale (pure water = 1.0), defined by vapour pressure at equilibrium. Moisture content is not water activity - given apple sauce 95%, fresh egg 75%, fresh meat 72% and apple jelly 35% moisture, you need more data, because the jelly's sugar binds much of its water.	FNH200::Lesson02
Give the minimum water activity for growth of most bacteria, yeasts and molds, plus the two specialist groups.	Most bacteria aw 0.91, most yeasts aw 0.88, most molds aw 0.80. Osmophilic yeasts go down to aw 0.62 and xerophilic molds to aw 0.65.	FNH200::Lesson02
List the minor constituents of foods.	Acids, pigments, aroma constituents, vitamins and minerals - present in small amounts but important to food quality and safety.	FNH200::Lesson02
Name the major acid in apple, and match citric, tartaric and lactic acid to their sources.	Malic acid is the major acid in apple. Citric acid = citrus, tartaric acid = grapes, lactic acid = fermented dairy.	FNH200::Lesson02
In terms of food safety, which pH is the most critical, and what does it separate?	pH 4.6. A food with pH below 4.6 is low pH / highly acidic (high-acid); a food above pH 4.6 is low-acid.	FNH200::Lesson02
Which vitamins have additional functions as food additives, and what does calcium sulphate do in tofu?	Ascorbic acid (vitamin C) is a bleaching agent (hastens oxidation and aging as in flour whitening) and a preservative antioxidant that slows rancidity and browning; tocopherols (vitamin E) are preservative antioxidants. Calcium sulphate is the coagulant that sets soy milk into tofu (a gel).	FNH200::Lesson02
How many Calories per gram does fat provide, and how does that compare to other food components?	Fat provides 9 Cal per gram, making it the most calorie-dense component in food.	FNH200::Lesson03
Fat substitutes are grouped into which three types, and what is each type classified by?	They are classified by what they are made of: protein-based, carbohydrate-based, and fat-based.	FNH200::Lesson03
Simplesse: what type of fat substitute is it, what is it made from, and how digestible is it?	A protein-based fat substitute made from soy, milk or egg white protein.<br>It is partially digestible.	FNH200::Lesson03
What is microparticulation?	The process used to make Simplesse, in which protein is formed into tiny spherical particles.<br>These protein particles stabilize and give a fat-like creamy texture to food.	FNH200::Lesson03
How may Simplesse appear in a product's ingredient list?	Products made with Simplesse do NOT have to be labelled "Simplesse"; it may be listed as "modified protein."	FNH200::Lesson03
Can the fat used to make deep-fried products, such as French fries, be replaced by Simplesse?	No. Simplesse is protein-based and cannot withstand deep-frying; Olean is the fat substitute that can replace deep-frying fat.	FNH200::Lesson03
Maltrins: what type of fat substitute are they, what are they chemically, and how digestible are they?	Carbohydrate-based fat substitutes, also called maltodextrins (short chains of starch).<br>They are fully digestible.	FNH200::Lesson03
Olean (generic name olestra): what type of fat substitute is it and what is it chemically?	A fat-based fat substitute; chemically it is a combination of "sugar" and "fat."	FNH200::Lesson03
Olean/olestra: digestibility, calories, and heat behaviour?	Indigestible, so it contributes no calories.<br>It is heat stable and can be used for deep-frying (e.g., fat-free Pringles).	FNH200::Lesson03
Match Simplesse, Maltrin and Olean with indigestible / partially digestible / fully digestible.	Simplesse = partially digestible; Maltrin = fully digestible; Olean = indigestible.	FNH200::Lesson03
